品牌,类别,订单来源,订单状态,账期,成交价,订单金额,账单金额,账单二级类型,项目,收件人姓名,收件人姓名_脱敏,收件人手机号,收件人手机号_脱敏
微星,一体机,电商通,已成交,2026-04,8533.17,10949.02,10949.02,销售订单,PC 经营采购,顾客0569,顾客0569,1**********,1**********
联想（Lenovo）,一体机,京东,报价中,2026-05,,6149.78,1784.41,销售订单,PC 经营采购,顾客0570,顾客0570,1**********,1**********
华硕（ASUS）,游戏本,抖音,已成交,2026-08,9821.93,8255.29,8255.29,销售订单,PC 经营采购,顾客0571,顾客0571,1**********,1**********
惠普(HP),电脑配件,拼多多,已成交,2026-06,6785.2,8937.1,8937.1,采购订单,PC 经营采购,顾客0572,顾客0572,1**********,1**********
雷神,显示器,拼多多,报价中,2026-07,,8036.68,129.73,采购订单,PC 经营采购,顾客0573,顾客0573,1**********,1**********
华硕（ASUS）,台式整机,拼多多,新建采购,2026-06,,8380.95,829.4,采购订单,PC 经营采购,顾客0574,顾客0574,1**********,1**********
华硕（ASUS）,游戏本,淘宝,已成交,2026-06,9579.34,7603.89,7603.89,采购订单,PC 经营采购,顾客0575,顾客0575,1**********,1**********
微星,一体机,快手,新建采购,2026-07,,9419.03,905.56,采购订单,PC 经营采购,顾客0576,顾客0576,1**********,1**********
ThinkPad,轻薄本,抖音,已成交,2026-06,8056.61,8225.76,8225.76,销售订单,PC 经营采购,顾客0577,顾客0577,1**********,1**********
七彩虹,笔记本电脑,快手,新建采购,2026-06,,9039.66,762.93,退换订单,PC 经营采购,顾客0578,顾客0578,1**********,1**********
华硕（ASUS）,笔记本电脑,抖音,已成交,2026-03,8357.63,8523.49,8523.49,采购订单,PC 经营采购,顾客0579,顾客0579,1**********,1**********
联想（Lenovo）,显示器,抖音,已成交,2026-03,7162.51,6584.63,6584.63,采购订单,PC 经营采购,顾客0580,顾客0580,1**********,1**********
七彩虹,轻薄本,拼多多,报价中,2026-03,,9323.1,250.13,采购订单,PC 经营采购,顾客0581,顾客0581,1**********,1**********
ThinkPad,显示器,京东,已成交,2026-05,7189.78,7730.5,7730.5,采购订单,PC 经营采购,顾客0582,顾客0582,1**********,1**********
ThinkPad,笔记本电脑,快手,撤销,2026-03,,8372.44,1132.88,退换订单,PC 经营采购,顾客0583,顾客0583,1**********,1**********
联想（Lenovo）,轻薄本,快手,撤销,2026-04,,6454.9,833.55,退换订单,PC 经营采购,顾客0584,顾客0584,1**********,1**********
七彩虹,显示器,京东,已成交,2026-06,8885.41,7325.79,7325.79,退换订单,PC 经营采购,顾客0585,顾客0585,1**********,1**********
雷神,轻薄本,抖音,已成交,2026-03,9685.19,7564.72,7564.72,退换订单,PC 经营采购,顾客0586,顾客0586,1**********,1**********
ThinkPad,游戏本,天猫,已成交,2026-06,7556.37,8077.62,8077.62,采购订单,PC 经营采购,顾客0587,顾客0587,1**********,1**********
ThinkPad,游戏本,天猫,已成交,2026-03,7266.31,7367.85,7367.85,退换订单,PC 经营采购,顾客0588,顾客0588,1**********,1**********
机械革命,台式整机,快手,撤销,2026-01,,8766.06,2236.0,退换订单,PC 经营采购,顾客0589,顾客0589,1**********,1**********
雷神,笔记本电脑,电商通,已成交,2026-03,8467.71,10021.8,10021.8,销售订单,PC 经营采购,顾客0590,顾客0590,1**********,1**********
联想（Lenovo）,电脑配件,京东,已成交,2026-05,6205.35,5845.0,5845.0,退换订单,PC 经营采购,顾客0591,顾客0591,1**********,1**********
ThinkPad,笔记本电脑,京东,已成交,2026-02,7841.14,6275.22,6275.22,销售订单,PC 经营采购,顾客0592,顾客0592,1**********,1**********
机械革命,轻薄本,淘宝,撤销,2026-05,,9933.04,1995.74,采购订单,PC 经营采购,顾客0593,顾客0593,1**********,1**********
机械革命,一体机,天猫,已成交,2026-05,10685.46,10621.37,10621.37,销售订单,PC 经营采购,顾客0594,顾客0594,1**********,1**********
微星,显示器,天猫,已成交,2026-07,10267.69,10651.19,10651.19,采购订单,PC 经营采购,顾客0595,顾客0595,1**********,1**********
七彩虹,台式整机,京东,待发布,2026-08,,8772.52,301.77,退换订单,PC 经营采购,顾客0596,顾客0596,1**********,1**********
雷神,一体机,淘宝,已成交,2026-01,9673.95,7218.6,7218.6,退换订单,PC 经营采购,顾客0597,顾客0597,1**********,1**********
惠普(HP),台式整机,电商通,已成交,2026-05,9000.99,6509.04,6509.04,退换订单,PC 经营采购,顾客0598,顾客0598,1**********,1**********
华硕（ASUS）,显示器,快手,新建采购,2026-02,,7375.77,858.52,采购订单,PC 经营采购,顾客0599,顾客0599,1**********,1**********
雷神,电脑配件,拼多多,已成交,2026-02,8165.18,9522.64,9522.64,采购订单,PC 经营采购,顾客0600,顾客0600,1**********,1**********
宏碁（acer）,显示器,京东,已成交,2026-01,6468.75,8444.15,8444.15,采购订单,PC 经营采购,顾客0601,顾客0601,1**********,1**********
联想（Lenovo）,电脑配件,抖音,报价中,2026-05,,7863.7,63.44,退换订单,PC 经营采购,顾客0602,顾客0602,1**********,1**********
联想（Lenovo）,电脑配件,电商通,撤销,2026-08,,7013.35,1468.97,采购订单,PC 经营采购,顾客0603,顾客0603,1**********,1**********
机械革命,台式整机,抖音,已成交,2026-01,9988.92,9375.84,9375.84,退换订单,PC 经营采购,顾客0604,顾客0604,1**********,1**********
七彩虹,笔记本电脑,京东,已成交,2026-07,7308.81,8211.69,8211.69,采购订单,PC 经营采购,顾客0605,顾客0605,1**********,1**********
ThinkPad,台式整机,抖音,已成交,2026-08,6242.49,6874.38,6874.38,销售订单,PC 经营采购,顾客0606,顾客0606,1**********,1**********
宏碁（acer）,游戏本,天猫,已成交,2026-01,7664.82,8160.66,8160.66,采购订单,PC 经营采购,顾客0607,顾客0607,1**********,1**********
宏碁（acer）,轻薄本,抖音,已成交,2026-05,8273.44,6462.87,6462.87,销售订单,PC 经营采购,顾客0608,顾客0608,1**********,1**********
惠普(HP),笔记本电脑,天猫,已成交,2026-04,7357.51,7478.18,7478.18,采购订单,PC 经营采购,顾客0609,顾客0609,1**********,1**********
联想（Lenovo）,电脑配件,抖音,已成交,2026-08,6798.48,5609.01,5609.01,退换订单,PC 经营采购,顾客0610,顾客0610,1**********,1**********
微星,台式整机,淘宝,已成交,2026-07,8146.25,8914.27,8914.27,销售订单,PC 经营采购,顾客0611,顾客0611,1**********,1**********
ThinkPad,轻薄本,拼多多,已成交,2026-03,6570.46,7137.71,7137.71,销售订单,PC 经营采购,顾客0612,顾客0612,1**********,1**********
华硕（ASUS）,电脑配件,淘宝,已成交,2026-04,7907.81,7525.58,7525.58,采购订单,PC 经营采购,顾客0613,顾客0613,1**********,1**********
惠普(HP),电脑配件,拼多多,已成交,2026-05,6807.78,7141.45,7141.45,退换订单,PC 经营采购,顾客0614,顾客0614,1**********,1**********
机械革命,台式整机,电商通,撤销,2026-03,,7850.43,918.7,退换订单,PC 经营采购,顾客0615,顾客0615,1**********,1**********
七彩虹,一体机,电商通,已成交,2026-08,9029.73,8037.67,8037.67,销售订单,PC 经营采购,顾客0616,顾客0616,1**********,1**********
七彩虹,轻薄本,抖音,已成交,2026-01,8629.87,7473.35,7473.35,采购订单,PC 经营采购,顾客0617,顾客0617,1**********,1**********
雷神,笔记本电脑,拼多多,新建采购,2026-07,,7333.83,836.04,采购订单,PC 经营采购,顾客0618,顾客0618,1**********,1**********
联想（Lenovo）,一体机,电商通,已成交,2026-08,6171.66,7376.27,7376.27,退换订单,PC 经营采购,顾客0619,顾客0619,1**********,1**********
ThinkPad,轻薄本,天猫,已成交,2026-07,6805.17,6119.76,6119.76,销售订单,PC 经营采购,顾客0620,顾客0620,1**********,1**********
机械革命,电脑配件,天猫,已成交,2026-05,9283.59,11009.07,11009.07,采购订单,PC 经营采购,顾客0621,顾客0621,1**********,1**********
七彩虹,显示器,拼多多,报价中,2026-05,,8281.29,2369.33,采购订单,PC 经营采购,顾客0622,顾客0622,1**********,1**********
微星,显示器,天猫,待发布,2026-03,,8097.97,499.14,退换订单,PC 经营采购,顾客0623,顾客0623,1**********,1**********
七彩虹,游戏本,抖音,已成交,2026-03,8710.07,8311.56,8311.56,销售订单,PC 经营采购,顾客0624,顾客0624,1**********,1**********
微星,笔记本电脑,拼多多,撤销,2026-05,,8808.47,283.77,退换订单,PC 经营采购,顾客0625,顾客0625,1**********,1**********
七彩虹,轻薄本,京东,已成交,2026-02,7177.29,7572.33,7572.33,退换订单,PC 经营采购,顾客0626,顾客0626,1**********,1**********
七彩虹,台式整机,电商通,已成交,2026-01,7575.24,7943.54,7943.54,退换订单,PC 经营采购,顾客0627,顾客0627,1**********,1**********
联想（Lenovo）,一体机,拼多多,已成交,2026-05,6949.5,6056.25,6056.25,销售订单,PC 经营采购,顾客0628,顾客0628,1**********,1**********
惠普(HP),台式整机,京东,报价中,2026-04,,7559.25,1057.95,退换订单,PC 经营采购,顾客0629,顾客0629,1**********,1**********
雷神,显示器,抖音,已成交,2026-04,7388.9,8025.84,8025.84,销售订单,PC 经营采购,顾客0630,顾客0630,1**********,1**********
微星,显示器,快手,撤销,2026-02,,7925.13,1640.73,销售订单,PC 经营采购,顾客0631,顾客0631,1**********,1**********
机械革命,台式整机,天猫,已成交,2026-07,8162.23,8560.64,8560.64,销售订单,PC 经营采购,顾客0632,顾客0632,1**********,1**********
宏碁（acer）,台式整机,天猫,已成交,2026-03,8240.45,8189.64,8189.64,采购订单,PC 经营采购,顾客0633,顾客0633,1**********,1**********
华硕（ASUS）,游戏本,拼多多,已成交,2026-05,9414.14,8370.15,8370.15,采购订单,PC 经营采购,顾客0634,顾客0634,1**********,1**********
惠普(HP),轻薄本,抖音,已成交,2026-05,7123.05,9172.49,9172.49,销售订单,PC 经营采购,顾客0635,顾客0635,1**********,1**********
雷神,笔记本电脑,抖音,已成交,2026-04,9602.44,9702.51,9702.51,销售订单,PC 经营采购,顾客0636,顾客0636,1**********,1**********
惠普(HP),电脑配件,拼多多,已成交,2026-06,7026.57,7361.8,7361.8,销售订单,PC 经营采购,顾客0637,顾客0637,1**********,1**********
雷神,笔记本电脑,天猫,已成交,2026-06,7566.66,8803.73,8803.73,采购订单,PC 经营采购,顾客0638,顾客0638,1**********,1**********
七彩虹,一体机,抖音,已成交,2026-01,9093.19,8343.56,8343.56,采购订单,PC 经营采购,顾客0639,顾客0639,1**********,1**********
华硕（ASUS）,显示器,拼多多,报价中,2026-04,,9757.28,348.57,销售订单,PC 经营采购,顾客0640,顾客0640,1**********,1**********
雷神,电脑配件,电商通,已成交,2026-04,9263.22,7261.93,7261.93,采购订单,PC 经营采购,顾客0641,顾客0641,1**********,1**********
惠普(HP),游戏本,淘宝,已成交,2026-01,8705.44,6942.34,6942.34,退换订单,PC 经营采购,顾客0642,顾客0642,1**********,1**********
微星,一体机,抖音,新建采购,2026-02,,10231.33,394.81,退换订单,PC 经营采购,顾客0643,顾客0643,1**********,1**********
雷神,一体机,拼多多,新建采购,2026-02,,8274.21,1151.89,退换订单,PC 经营采购,顾客0644,顾客0644,1**********,1**********
ThinkPad,轻薄本,抖音,撤销,2026-05,,6079.72,4.86,采购订单,PC 经营采购,顾客0645,顾客0645,1**********,1**********
雷神,游戏本,淘宝,已成交,2026-03,8528.36,8129.35,8129.35,采购订单,PC 经营采购,顾客0646,顾客0646,1**********,1**********
微星,电脑配件,天猫,已成交,2026-05,8298.13,9030.0,9030.0,销售订单,PC 经营采购,顾客0647,顾客0647,1**********,1**********
联想（Lenovo）,轻薄本,抖音,已成交,2026-05,6858.0,6851.62,6851.62,采购订单,PC 经营采购,顾客0648,顾客0648,1**********,1**********
机械革命,游戏本,电商通,待发布,2026-06,,9394.18,337.96,退换订单,PC 经营采购,顾客0649,顾客0649,1**********,1**********
华硕（ASUS）,电脑配件,天猫,已成交,2026-02,7828.79,9976.9,9976.9,销售订单,PC 经营采购,顾客0650,顾客0650,1**********,1**********
机械革命,轻薄本,拼多多,已成交,2026-06,8955.06,8459.8,8459.8,退换订单,PC 经营采购,顾客0651,顾客0651,1**********,1**********
ThinkPad,笔记本电脑,天猫,已成交,2026-02,7918.84,6279.29,6279.29,退换订单,PC 经营采购,顾客0652,顾客0652,1**********,1**********
微星,游戏本,拼多多,撤销,2026-08,,8663.64,2182.82,采购订单,PC 经营采购,顾客0653,顾客0653,1**********,1**********
七彩虹,电脑配件,抖音,已成交,2026-06,7859.45,8138.48,8138.48,退换订单,PC 经营采购,顾客0654,顾客0654,1**********,1**********
雷神,电脑配件,抖音,撤销,2026-04,,7992.04,734.67,销售订单,PC 经营采购,顾客0655,顾客0655,1**********,1**********
七彩虹,一体机,天猫,已成交,2026-06,7769.78,9311.99,9311.99,退换订单,PC 经营采购,顾客0656,顾客0656,1**********,1**********
ThinkPad,显示器,拼多多,已成交,2026-02,7865.87,7728.98,7728.98,采购订单,PC 经营采购,顾客0657,顾客0657,1**********,1**********
联想（Lenovo）,笔记本电脑,淘宝,撤销,2026-05,,7199.39,519.51,采购订单,PC 经营采购,顾客0658,顾客0658,1**********,1**********
联想（Lenovo）,电脑配件,抖音,已成交,2026-07,6909.47,7873.85,7873.85,退换订单,PC 经营采购,顾客0659,顾客0659,1**********,1**********
七彩虹,笔记本电脑,抖音,已成交,2026-02,8033.09,6819.55,6819.55,退换订单,PC 经营采购,顾客0660,顾客0660,1**********,1**********
宏碁（acer）,一体机,抖音,已成交,2026-08,7214.28,6000.58,6000.58,退换订单,PC 经营采购,顾客0661,顾客0661,1**********,1**********
惠普(HP),游戏本,拼多多,待发布,2026-03,,7533.72,1022.35,退换订单,PC 经营采购,顾客0662,顾客0662,1**********,1**********
雷神,台式整机,天猫,已成交,2026-05,9149.5,8199.94,8199.94,采购订单,PC 经营采购,顾客0663,顾客0663,1**********,1**********
七彩虹,台式整机,拼多多,已成交,2026-02,7110.52,6987.82,6987.82,退换订单,PC 经营采购,顾客0664,顾客0664,1**********,1**********
联想（Lenovo）,轻薄本,拼多多,报价中,2026-02,,7650.37,873.91,退换订单,PC 经营采购,顾客0665,顾客0665,1**********,1**********
微星,游戏本,快手,撤销,2026-03,,10054.16,422.6,退换订单,PC 经营采购,顾客0666,顾客0666,1**********,1**********
华硕（ASUS）,轻薄本,淘宝,撤销,2026-02,,7192.56,1540.36,采购订单,PC 经营采购,顾客0667,顾客0667,1**********,1**********
惠普(HP),游戏本,京东,撤销,2026-08,,7836.33,480.93,采购订单,PC 经营采购,顾客0668,顾客0668,1**********,1**********
惠普(HP),笔记本电脑,拼多多,报价中,2026-01,,8751.34,479.37,销售订单,PC 经营采购,顾客0669,顾客0669,1**********,1**********
宏碁（acer）,游戏本,抖音,已成交,2026-04,8076.87,8206.47,8206.47,退换订单,PC 经营采购,顾客0670,顾客0670,1**********,1**********
华硕（ASUS）,游戏本,拼多多,已成交,2026-03,8266.76,9579.91,9579.91,销售订单,PC 经营采购,顾客0671,顾客0671,1**********,1**********
七彩虹,轻薄本,拼多多,新建采购,2026-04,,8510.35,1999.19,销售订单,PC 经营采购,顾客0672,顾客0672,1**********,1**********
雷神,台式整机,快手,已成交,2026-01,9871.12,9338.86,9338.86,退换订单,PC 经营采购,顾客0673,顾客0673,1**********,1**********
机械革命,游戏本,抖音,已成交,2026-04,8781.48,10858.95,10858.95,采购订单,PC 经营采购,顾客0674,顾客0674,1**********,1**********
雷神,台式整机,天猫,报价中,2026-04,,7286.23,629.18,销售订单,PC 经营采购,顾客0675,顾客0675,1**********,1**********
七彩虹,一体机,天猫,报价中,2026-08,,9741.14,2887.1,销售订单,PC 经营采购,顾客0676,顾客0676,1**********,1**********
微星,游戏本,抖音,已成交,2026-08,8180.19,8709.56,8709.56,退换订单,PC 经营采购,顾客0677,顾客0677,1**********,1**********
微星,电脑配件,拼多多,新建采购,2026-05,,10746.75,2862.71,退换订单,PC 经营采购,顾客0678,顾客0678,1**********,1**********
微星,一体机,拼多多,已成交,2026-01,8173.58,8310.66,8310.66,销售订单,PC 经营采购,顾客0679,顾客0679,1**********,1**********
联想（Lenovo）,台式整机,电商通,撤销,2026-07,,7121.23,838.46,采购订单,PC 经营采购,顾客0680,顾客0680,1**********,1**********
ThinkPad,显示器,拼多多,已成交,2026-01,7229.02,7131.16,7131.16,退换订单,PC 经营采购,顾客0681,顾客0681,1**********,1**********
惠普(HP),显示器,抖音,撤销,2026-07,,7480.29,2217.36,采购订单,PC 经营采购,顾客0682,顾客0682,1**********,1**********
华硕（ASUS）,游戏本,淘宝,已成交,2026-06,7472.25,7327.96,7327.96,退换订单,PC 经营采购,顾客0683,顾客0683,1**********,1**********
雷神,电脑配件,京东,撤销,2026-04,,7144.45,793.77,采购订单,PC 经营采购,顾客0684,顾客0684,1**********,1**********
机械革命,笔记本电脑,拼多多,撤销,2026-06,,8381.61,103.75,采购订单,PC 经营采购,顾客0685,顾客0685,1**********,1**********
七彩虹,轻薄本,淘宝,已成交,2026-05,7681.98,8003.91,8003.91,采购订单,PC 经营采购,顾客0686,顾客0686,1**********,1**********
华硕（ASUS）,一体机,京东,已成交,2026-05,9063.3,7288.7,7288.7,销售订单,PC 经营采购,顾客0687,顾客0687,1**********,1**********
ThinkPad,台式整机,电商通,新建采购,2026-03,,7749.53,1433.82,销售订单,PC 经营采购,顾客0688,顾客0688,1**********,1**********
宏碁（acer）,显示器,淘宝,已成交,2026-08,7939.25,8277.96,8277.96,退换订单,PC 经营采购,顾客0689,顾客0689,1**********,1**********
惠普(HP),台式整机,抖音,报价中,2026-07,,6804.72,2020.81,退换订单,PC 经营采购,顾客0690,顾客0690,1**********,1**********
雷神,显示器,拼多多,撤销,2026-07,,9977.14,2457.17,采购订单,PC 经营采购,顾客0691,顾客0691,1**********,1**********
机械革命,一体机,电商通,撤销,2026-02,,10823.85,2281.69,采购订单,PC 经营采购,顾客0692,顾客0692,1**********,1**********
惠普(HP),一体机,拼多多,已成交,2026-06,8950.83,8306.04,8306.04,采购订单,PC 经营采购,顾客0693,顾客0693,1**********,1**********
ThinkPad,笔记本电脑,淘宝,新建采购,2026-07,,8050.71,1031.19,销售订单,PC 经营采购,顾客0694,顾客0694,1**********,1**********
七彩虹,台式整机,拼多多,已成交,2026-04,8472.69,7181.09,7181.09,采购订单,PC 经营采购,顾客0695,顾客0695,1**********,1**********
ThinkPad,笔记本电脑,快手,报价中,2026-06,,8005.74,234.38,采购订单,PC 经营采购,顾客0696,顾客0696,1**********,1**********
微星,电脑配件,淘宝,已成交,2026-07,9949.14,10825.13,10825.13,销售订单,PC 经营采购,顾客0697,顾客0697,1**********,1**********
华硕（ASUS）,电脑配件,天猫,已成交,2026-03,8795.48,9824.01,9824.01,销售订单,PC 经营采购,顾客0698,顾客0698,1**********,1**********
联想（Lenovo）,轻薄本,天猫,已成交,2026-03,5948.17,6305.88,6305.88,退换订单,PC 经营采购,顾客0699,顾客0699,1**********,1**********
雷神,显示器,快手,已成交,2026-08,8664.34,7144.05,7144.05,销售订单,PC 经营采购,顾客0700,顾客0700,1**********,1**********
微星,笔记本电脑,拼多多,撤销,2026-07,,8687.61,52.48,采购订单,PC 经营采购,顾客0701,顾客0701,1**********,1**********
ThinkPad,电脑配件,拼多多,已成交,2026-05,7405.38,7129.14,7129.14,采购订单,PC 经营采购,顾客0702,顾客0702,1**********,1**********
ThinkPad,台式整机,天猫,已成交,2026-07,7775.34,6722.28,6722.28,采购订单,PC 经营采购,顾客0703,顾客0703,1**********,1**********
惠普(HP),笔记本电脑,快手,待发布,2026-07,,7326.81,1889.43,退换订单,PC 经营采购,顾客0704,顾客0704,1**********,1**********
宏碁（acer）,游戏本,抖音,待发布,2026-07,,7843.28,54.52,退换订单,PC 经营采购,顾客0705,顾客0705,1**********,1**********
宏碁（acer）,显示器,拼多多,已成交,2026-07,7674.46,8447.97,8447.97,退换订单,PC 经营采购,顾客0706,顾客0706,1**********,1**********
雷神,游戏本,抖音,已成交,2026-04,8325.45,9327.8,9327.8,采购订单,PC 经营采购,顾客0707,顾客0707,1**********,1**********
微星,电脑配件,天猫,已成交,2026-04,9821.01,9569.58,9569.58,销售订单,PC 经营采购,顾客0708,顾客0708,1**********,1**********
机械革命,游戏本,快手,撤销,2026-01,,9462.31,1527.24,采购订单,PC 经营采购,顾客0709,顾客0709,1**********,1**********
华硕（ASUS）,台式整机,拼多多,已成交,2026-01,8788.26,8443.37,8443.37,采购订单,PC 经营采购,顾客0710,顾客0710,1**********,1**********
惠普(HP),显示器,电商通,撤销,2026-04,,9121.0,554.14,退换订单,PC 经营采购,顾客0711,顾客0711,1**********,1**********
微星,一体机,抖音,已成交,2026-07,8166.46,8296.81,8296.81,销售订单,PC 经营采购,顾客0712,顾客0712,1**********,1**********
雷神,笔记本电脑,拼多多,已成交,2026-05,9212.06,10081.97,10081.97,退换订单,PC 经营采购,顾客0713,顾客0713,1**********,1**********
微星,游戏本,淘宝,新建采购,2026-06,,10737.12,1327.76,销售订单,PC 经营采购,顾客0714,顾客0714,1**********,1**********
微星,一体机,京东,已成交,2026-07,10311.62,10638.67,10638.67,销售订单,PC 经营采购,顾客0715,顾客0715,1**********,1**********
惠普(HP),笔记本电脑,拼多多,撤销,2026-08,,7756.42,1823.33,采购订单,PC 经营采购,顾客0716,顾客0716,1**********,1**********
华硕（ASUS）,显示器,京东,已成交,2026-03,8537.89,9150.27,9150.27,退换订单,PC 经营采购,顾客0717,顾客0717,1**********,1**********
七彩虹,电脑配件,抖音,已成交,2026-07,7125.02,8223.31,8223.31,采购订单,PC 经营采购,顾客0718,顾客0718,1**********,1**********
七彩虹,台式整机,淘宝,已成交,2026-06,9167.46,8336.19,8336.19,销售订单,PC 经营采购,顾客0719,顾客0719,1**********,1**********
联想（Lenovo）,电脑配件,京东,已成交,2026-07,7525.82,5552.61,5552.61,退换订单,PC 经营采购,顾客0720,顾客0720,1**********,1**********
微星,一体机,淘宝,已成交,2026-05,10214.79,10251.74,10251.74,销售订单,PC 经营采购,顾客0721,顾客0721,1**********,1**********
宏碁（acer）,游戏本,电商通,已成交,2026-01,7270.0,7645.32,7645.32,销售订单,PC 经营采购,顾客0722,顾客0722,1**********,1**********
ThinkPad,电脑配件,拼多多,已成交,2026-04,7300.27,7058.1,7058.1,采购订单,PC 经营采购,顾客0723,顾客0723,1**********,1**********
七彩虹,一体机,拼多多,新建采购,2026-06,,7532.42,713.4,退换订单,PC 经营采购,顾客0724,顾客0724,1**********,1**********
惠普(HP),笔记本电脑,京东,新建采购,2026-08,,7495.13,1578.61,销售订单,PC 经营采购,顾客0725,顾客0725,1**********,1**********
惠普(HP),轻薄本,电商通,已成交,2026-01,8230.45,8293.73,8293.73,采购订单,PC 经营采购,顾客0726,顾客0726,1**********,1**********
惠普(HP),一体机,拼多多,撤销,2026-03,,8644.11,2029.36,采购订单,PC 经营采购,顾客0727,顾客0727,1**********,1**********
宏碁（acer）,一体机,拼多多,已成交,2026-04,7260.72,7085.36,7085.36,采购订单,PC 经营采购,顾客0728,顾客0728,1**********,1**********
惠普(HP),轻薄本,淘宝,撤销,2026-04,,9060.9,2087.73,采购订单,PC 经营采购,顾客0729,顾客0729,1**********,1**********
雷神,笔记本电脑,电商通,已成交,2026-07,7801.84,7819.66,7819.66,采购订单,PC 经营采购,顾客0730,顾客0730,1**********,1**********
机械革命,笔记本电脑,抖音,已成交,2026-04,8622.03,11184.16,11184.16,销售订单,PC 经营采购,顾客0731,顾客0731,1**********,1**********
机械革命,轻薄本,拼多多,已成交,2026-02,9579.65,10073.07,10073.07,采购订单,PC 经营采购,顾客0732,顾客0732,1**********,1**********
ThinkPad,笔记本电脑,抖音,已成交,2026-07,6327.47,6331.18,6331.18,退换订单,PC 经营采购,顾客0733,顾客0733,1**********,1**********
七彩虹,笔记本电脑,电商通,已成交,2026-07,9331.77,6823.36,6823.36,采购订单,PC 经营采购,顾客0734,顾客0734,1**********,1**********
宏碁（acer）,笔记本电脑,京东,已成交,2026-03,7115.19,6974.8,6974.8,采购订单,PC 经营采购,顾客0735,顾客0735,1**********,1**********
惠普(HP),显示器,天猫,已成交,2026-07,7568.81,6883.27,6883.27,采购订单,PC 经营采购,顾客0736,顾客0736,1**********,1**********
华硕（ASUS）,一体机,电商通,已成交,2026-01,8624.31,7489.33,7489.33,销售订单,PC 经营采购,顾客0737,顾客0737,1**********,1**********
微星,台式整机,拼多多,撤销,2026-01,,9145.64,1675.44,采购订单,PC 经营采购,顾客0738,顾客0738,1**********,1**********
华硕（ASUS）,台式整机,淘宝,已成交,2026-01,7729.26,8796.8,8796.8,退换订单,PC 经营采购,顾客0739,顾客0739,1**********,1**********
惠普(HP),台式整机,抖音,已成交,2026-04,8071.72,8873.66,8873.66,退换订单,PC 经营采购,顾客0740,顾客0740,1**********,1**********
ThinkPad,笔记本电脑,天猫,已成交,2026-06,6251.01,6941.25,6941.25,销售订单,PC 经营采购,顾客0741,顾客0741,1**********,1**********
雷神,轻薄本,拼多多,已成交,2026-02,8578.46,9951.19,9951.19,退换订单,PC 经营采购,顾客0742,顾客0742,1**********,1**********
惠普(HP),电脑配件,天猫,撤销,2026-06,,7933.01,1565.32,采购订单,PC 经营采购,顾客0743,顾客0743,1**********,1**********
ThinkPad,电脑配件,拼多多,已成交,2026-02,8222.68,7795.79,7795.79,退换订单,PC 经营采购,顾客0744,顾客0744,1**********,1**********
雷神,笔记本电脑,快手,待发布,2026-04,,7947.15,133.49,采购订单,PC 经营采购,顾客0745,顾客0745,1**********,1**********
宏碁（acer）,轻薄本,抖音,撤销,2026-07,,8208.33,903.47,退换订单,PC 经营采购,顾客0746,顾客0746,1**********,1**********
ThinkPad,游戏本,天猫,已成交,2026-04,7918.98,6921.44,6921.44,采购订单,PC 经营采购,顾客0747,顾客0747,1**********,1**********
惠普(HP),台式整机,电商通,已成交,2026-07,7592.4,9249.35,9249.35,销售订单,PC 经营采购,顾客0748,顾客0748,1**********,1**********
微星,轻薄本,抖音,新建采购,2026-05,,9425.99,2018.21,销售订单,PC 经营采购,顾客0749,顾客0749,1**********,1**********
雷神,笔记本电脑,抖音,已成交,2026-08,7446.68,10055.17,10055.17,退换订单,PC 经营采购,顾客0750,顾客0750,1**********,1**********
联想（Lenovo）,笔记本电脑,电商通,已成交,2026-08,6740.23,6988.71,6988.71,采购订单,PC 经营采购,顾客0751,顾客0751,1**********,1**********
雷神,笔记本电脑,电商通,报价中,2026-02,,8566.66,876.68,退换订单,PC 经营采购,顾客0752,顾客0752,1**********,1**********
机械革命,一体机,拼多多,待发布,2026-06,,8217.63,1167.53,退换订单,PC 经营采购,顾客0753,顾客0753,1**********,1**********
宏碁（acer）,显示器,天猫,新建采购,2026-01,,7079.83,771.91,销售订单,PC 经营采购,顾客0754,顾客0754,1**********,1**********
七彩虹,一体机,天猫,已成交,2026-03,8020.13,8910.31,8910.31,退换订单,PC 经营采购,顾客0755,顾客0755,1**********,1**********
七彩虹,笔记本电脑,拼多多,新建采购,2026-02,,8951.61,2491.19,退换订单,PC 经营采购,顾客0756,顾客0756,1**********,1**********
惠普(HP),笔记本电脑,快手,已成交,2026-06,7048.58,6885.08,6885.08,销售订单,PC 经营采购,顾客0757,顾客0757,1**********,1**********
ThinkPad,游戏本,快手,报价中,2026-08,,6289.17,1434.52,退换订单,PC 经营采购,顾客0758,顾客0758,1**********,1**********
机械革命,游戏本,抖音,报价中,2026-03,,10910.14,2728.09,销售订单,PC 经营采购,顾客0759,顾客0759,1**********,1**********
七彩虹,游戏本,拼多多,撤销,2026-05,,9494.92,2406.16,退换订单,PC 经营采购,顾客0760,顾客0760,1**********,1**********
机械革命,游戏本,电商通,报价中,2026-06,,8442.61,827.97,采购订单,PC 经营采购,顾客0761,顾客0761,1**********,1**********
微星,轻薄本,拼多多,已成交,2026-06,10628.85,11158.11,11158.11,退换订单,PC 经营采购,顾客0762,顾客0762,1**********,1**********
